# NSAID zone depth edge out
3849 1035 0 1 0
3856 411 2 0 0
3858 744 3 0 0
3859 411 3 0 0
3864 1035 0 1 0
3870 136 4 0 0
3881 1035 0 1 0
3882 411 3 0 0
3883 1035 0 1 0
3884 1035 0 1 0
3886 1035 0 1 0
3890 1035 0 1 0
3891 136 4 0 0
3893 136 4 0 0
3895 1035 0 1 0
3897 603 2 0 0
3899 136 3 0 0
3906 1035 0 1 0
3907 1035 0 1 0
3913 1035 0 1 0
3915 1035 0 1 0
3917 744 2 0 0
3920 136 4 0 0
3921 744 2 0 0
3924 1035 0 1 0
3926 1035 0 1 0
3932 1035 0 1 0
3934 1035 0 1 0
3937 22 4 0 0
3938 813 4 0 0
3939 1035 0 1 0
3943 411 3 0 0
3944 411 2 0 0
3945 450 2 0 0
3946 450 3 0 0
3947 603 2 0 0
3948 371 5 0 0
